,0
0,0
1,4
2,5
3,5
4,9
5,1
6,1
7,4
8,1
9,3
10,6
11,1
12,8
13,4
14,5
15,9
16,4
17,2
18,3
19,1
20,4
21,7
22,2
23,9
24,5
25,4
26,2
27,7
28,3
29,9
30,3
31,6
32,9
33,6
34,6
35,6
36,1
37,7
38,1
39,2
40,5
41,9
42,2
43,2
44,0
45,3
46,2
47,0
48,7
49,1
50,7
51,0
52,7
53,1
54,1
55,0
56,2
57,1
58,1
59,3
60,5
61,4
62,7
63,6
64,9
65,4
66,8
67,8
68,8
69,8
70,7
71,1
72,3
73,2
74,2
75,3
76,1
77,1
78,7
79,2
80,3
81,4
82,5
83,3
84,3
85,7
86,3
87,0
88,3
89,5
90,2
91,3
92,4
93,0
94,3
95,3
96,9
97,5
98,1
99,8
100,5
101,4
102,8
103,5
104,8
105,8
106,9
107,5
108,8
109,2
110,1
111,0
112,6
113,3
114,7
115,8
116,3
117,6
118,7
119,7
120,2
121,6
122,0
123,1
124,5
125,7
126,3
127,0
128,2
129,5
130,5
131,1
132,0
133,8
134,0
135,1
136,3
137,1
138,3
139,3
140,2
141,7
142,3
143,0
144,1
145,9
146,3
147,6
148,0
149,3
150,1
151,5
152,7
153,6
154,8
155,2
156,3
157,0
158,9
159,9
160,3
161,9
162,1
163,6
164,2
165,0
166,2
167,3
168,9
169,1
170,2
171,4
172,5
173,7
174,3
175,5
176,9
177,8
178,5
179,6
180,1
181,2
182,3
183,2
184,5
185,8
186,3
187,6
188,3
189,5
190,6
191,9
192,1
193,6
194,5
195,0
196,3
197,6
198,1
199,7
200,6
201,5
202,8
203,9
204,1
205,0
206,7
207,3
208,2
209,7
210,6
211,2
212,7
213,3
214,8
215,3
216,4
217,6
218,6
219,4
220,8
221,2
222,0
223,1
224,7
225,0
226,8
227,6
228,2
229,7
230,7
231,3
232,4
233,1
234,1
235,1
236,3
237,1
238,9
239,9
240,9
241,3
242,1
243,7
244,3
245,9
246,9
247,0
248,5
249,3
250,7
251,9
252,6
253,2
254,6
255,4
256,0
257,0
258,9
259,6
260,7
261,6
262,7
263,2
264,6
265,5
266,8
267,5
268,4
269,4
270,8
271,6
272,3
273,5
274,3
275,5
276,3
277,2
278,8
279,5
280,7
281,9
282,6
283,1
284,3
285,7
286,4
287,9
288,3
289,7
290,8
291,3
292,3
293,2
294,4
295,0
296,0
297,8
298,6
299,3
300,0
301,5
302,0
303,9
304,1
305,9
306,1
307,3
308,0
309,1
310,3
311,9
312,7
313,9
314,2
315,5
316,3
317,2
318,2
319,0
320,3
321,6
322,2
323,4
324,5
325,3
326,5
327,0
328,7
329,1
330,9
331,0
332,0
333,8
334,3
335,9
336,6
337,5
338,5
339,9
340,7
341,2
342,6
343,0
344,1
345,7
346,9
347,3
348,0
349,0
350,8
351,6
352,4
353,4
354,6
355,4
356,3
357,4
358,9
359,0
360,9
361,6
362,9
363,2
364,4
365,9
366,3
367,5
368,2
369,1
370,6
371,8
372,2
373,8
374,6
375,0
376,9
377,7
378,3
379,7
380,1
381,6
382,2
383,5
384,1
385,5
386,0
387,3
388,6
389,0
390,7
391,1
392,8
393,3
394,3
395,4
396,9
397,8
398,6
399,6
400,3
401,3
402,3
403,1
404,3
405,2
406,1
407,4
408,6
409,8
410,3
411,7
412,6
413,9
414,5
415,5
416,1
417,7
418,9
419,9
420,4
421,4
422,7
423,7
424,6
425,1
426,4
427,3
428,7
429,0
430,7
431,8
432,5
433,6
434,8
435,1
436,1
437,5
438,6
439,8
440,5
441,8
442,6
443,7
444,5
445,6
446,5
447,2
448,4
449,8
450,6
451,7
452,1
453,9
454,8
455,4
456,1
457,9
458,0
459,9
460,0
461,9
462,1
463,9
464,6
465,6
466,3
467,6
468,6
469,8
470,0
471,1
472,2
473,8
474,5
475,4
476,9
477,7
478,9
479,1
480,7
481,1
482,7
483,5
484,4
485,3
486,4
487,4
488,2
489,3
490,1
491,8
492,7
493,5
494,9
495,2
496,5
497,7
498,8
499,8
500,4
501,7
502,7
503,0
504,9
505,2
506,7
507,2
508,3
509,7
510,9
511,0
512,0
513,2
514,6
515,3
516,7
517,4
518,0
519,8
520,2
521,2
522,2
523,7
524,7
525,2
526,7
527,0
528,0
529,0
530,0
531,3
532,9
533,3
534,3
535,6
536,4
537,8
538,6
539,4
540,7
541,8
542,5
543,9
544,7
545,5
546,8
547,9
548,0
549,6
550,8
551,0
552,6
553,0
554,2
555,0
556,5
557,1
558,5
559,6
560,3
561,7
562,2
563,5
564,4
565,4
566,6
567,1
568,0
569,8
570,6
571,7
572,7
573,2
574,6
575,5
576,7
577,0
578,8
579,6
580,3
581,7
582,9
583,4
584,0
585,1
586,1
587,0
588,2
589,9
590,8
591,2
592,2
593,3
594,0
595,3
596,9
597,7
598,5
599,3
600,5
601,1
602,9
603,8
604,9
605,5
606,3
