,0
0,0.0
1,4.0
2,5.0
3,5.0
4,9.0
5,1.0
6,1.0
7,4.0
8,1.0
9,3.0
10,6.0
11,1.0
12,8.0
13,4.0
14,5.0
15,9.0
16,4.0
17,2.0
18,3.0
19,1.0
20,4.0
21,7.0
22,2.0
23,9.0
24,5.0
25,4.0
26,2.0
27,7.0
28,3.0
29,9.0
30,3.0
31,6.0
32,9.0
33,6.0
34,6.0
35,6.0
36,1.0
37,7.0
38,1.0
39,2.0
40,5.0
41,9.0
42,2.0
43,2.0
44,0.0
45,3.0
46,2.0
47,0.0
48,7.0
49,1.0
50,7.0
51,0.0
52,7.0
53,1.0
54,1.0
55,0.0
56,2.0
57,1.0
58,1.0
59,3.0
60,5.0
61,4.0
62,7.0
63,7.0
64,9.0
65,4.0
66,8.0
67,8.0
68,8.0
69,8.0
70,7.0
71,1.0
72,3.0
73,2.0
74,2.0
75,3.0
76,1.0
77,1.0
78,7.0
79,2.0
80,3.0
81,4.0
82,5.0
83,3.0
84,3.0
85,7.0
86,3.0
87,0.0
88,3.0
89,5.0
90,2.0
91,3.0
92,4.0
93,0.0
94,3.0
95,3.0
96,9.0
97,5.0
98,1.0
99,8.0
100,5.0
101,4.0
102,8.0
103,5.0
104,8.0
105,8.0
106,9.0
107,5.0
108,8.0
109,2.0
110,1.0
111,0.0
112,6.0
113,3.0
114,7.0
115,8.0
116,3.0
117,6.0
118,7.0
119,7.0
120,2.0
121,6.0
122,0.0
123,1.0
124,5.0
125,7.0
126,3.0
127,0.0
128,2.0
129,5.0
130,5.0
131,1.0
132,0.0
133,8.0
134,0.0
135,1.0
136,3.0
137,1.0
138,3.0
139,3.0
140,2.0
141,7.0
142,3.0
143,0.0
144,1.0
145,9.0
146,3.0
147,6.0
148,0.0
149,3.0
150,1.0
151,5.0
152,7.0
153,6.0
154,8.0
155,2.0
156,3.0
157,0.0
158,9.0
159,9.0
160,3.0
161,9.0
162,1.0
163,6.0
164,2.0
165,0.0
166,2.0
167,3.0
168,9.0
169,1.0
170,2.0
171,4.0
172,5.0
173,7.0
174,3.0
175,5.0
176,9.0
177,8.0
178,2.0
179,6.0
180,1.0
181,2.0
182,3.0
183,2.0
184,5.0
185,8.0
186,3.0
187,6.0
188,3.0
189,5.0
190,6.0
191,9.0
192,1.0
193,6.0
194,5.0
195,0.0
196,3.0
197,6.0
198,1.0
199,7.0
200,6.0
201,5.0
202,8.0
203,9.0
204,1.0
205,0.0
206,7.0
207,3.0
208,2.0
209,7.0
210,6.0
211,2.0
212,7.0
213,7.0
214,1.0
215,3.0
216,4.0
217,6.0
218,6.0
219,4.0
220,8.0
221,2.0
222,0.0
223,1.0
224,7.0
225,0.0
226,8.0
227,6.0
228,2.0
229,7.0
230,7.0
231,3.0
232,4.0
233,1.0
234,1.0
235,1.0
236,3.0
237,1.0
238,9.0
239,9.0
240,9.0
241,3.0
242,1.0
243,7.0
244,3.0
245,9.0
246,9.0
247,0.0
248,5.0
249,3.0
250,7.0
251,9.0
252,6.0
253,2.0
254,6.0
255,4.0
256,0.0
257,0.0
258,9.0
259,6.0
260,7.0
261,6.0
262,7.0
263,2.0
264,6.0
265,5.0
266,8.0
267,5.0
268,4.0
269,4.0
270,8.0
271,6.0
272,3.0
273,5.0
274,3.0
275,5.0
276,3.0
277,2.0
278,8.0
279,5.0
280,7.0
281,9.0
282,6.0
283,1.0
284,3.0
285,7.0
286,4.0
287,9.0
288,3.0
289,7.0
290,8.0
291,4.0
292,0.0
293,2.0
294,4.0
295,0.0
296,0.0
297,8.0
298,6.0
299,3.0
300,0.0
301,5.0
302,0.0
303,9.0
304,1.0
305,9.0
306,1.0
307,3.0
308,0.0
309,1.0
310,3.0
311,9.0
312,7.0
313,9.0
314,2.0
315,5.0
316,3.0
317,2.0
318,2.0
319,0.0
320,3.0
321,6.0
322,2.0
323,4.0
324,5.0
325,3.0
326,5.0
327,0.0
328,7.0
329,1.0
330,9.0
331,0.0
332,0.0
333,8.0
334,3.0
335,9.0
336,6.0
337,5.0
338,5.0
339,9.0
340,7.0
341,2.0
342,6.0
343,0.0
344,1.0
345,7.0
346,9.0
347,3.0
348,0.0
349,0.0
350,8.0
351,7.0
352,4.0
353,3.0
354,6.0
355,4.0
356,3.0
357,4.0
358,9.0
359,0.0
360,9.0
361,6.0
